"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"d:\bookingHealthCare\client\src\pages\AdminPage\index.jsx", "JavaScript JSX", 0, -9, 0, 0, -2, -11
"d:\bookingHealthCare\client\src\pages\DoctorPage\index.jsx", "JavaScript JSX", 0, -7, 0, 0, -3, -10
"d:\bookingHealthCare\client\src\pages\FacilitiesDetail\FacilitiesDetail.module.scss", "SCSS", 0, 0, -55, -2, -3, -60
"d:\bookingHealthCare\client\src\pages\FacilitiesDetail\index.jsx", "JavaScript JSX", 0, -37, 0, -2, -6, -45
"d:\bookingHealthCare\client\src\pages\Facilities\Facilities.module.scss", "SCSS", 0, 0, -27, 0, -1, -28
"d:\bookingHealthCare\client\src\pages\Facilities\index.jsx", "JavaScript JSX", 0, -35, 0, 0, -6, -41
"d:\bookingHealthCare\client\src\pages\HistoryPage\HistoryPage.module.scss", "SCSS", 0, 0, -167, -7, -14, -188
"d:\bookingHealthCare\client\src\pages\HistoryPage\index.jsx", "JavaScript JSX", 0, -131, 0, -1, -5, -137
"d:\bookingHealthCare\client\src\pages\Home\Home.module.scss", "SCSS", 0, 0, -14, 0, -1, -15
"d:\bookingHealthCare\client\src\pages\Home\index.jsx", "JavaScript JSX", 0, -42, 0, 0, -3, -45
"d:\bookingHealthCare\client\src\pages\ListDoctor\ListDoctor.module.scss", "SCSS", 0, 0, -22, -2, -2, -26
"d:\bookingHealthCare\client\src\pages\ListDoctor\index.jsx", "JavaScript JSX", 0, -30, 0, 0, -5, -35
"d:\bookingHealthCare\client\src\pages\ListOrderPack\ListOrderPack.module.scss", "SCSS", 0, 0, -47, -4, -8, -59
"d:\bookingHealthCare\client\src\pages\ListOrderPack\index.jsx", "JavaScript JSX", 0, -32, 0, 0, -7, -39
"d:\bookingHealthCare\client\src\pages\Login\Login.module.scss", "SCSS", 0, 0, -105, -1, -17, -123
"d:\bookingHealthCare\client\src\pages\Login\index.jsx", "JavaScript JSX", 0, -109, 0, 0, -10, -119
"d:\bookingHealthCare\client\src\pages\OrderDoctorDetail\OrderDoctorDetail.module.scss", "SCSS", 0, 0, -216, -20, -44, -280
"d:\bookingHealthCare\client\src\pages\OrderDoctorDetail\index.jsx", "JavaScript JSX", 0, -150, 0, 0, -22, -172
"d:\bookingHealthCare\client\src\pages\OrderPackDetail\OrderPackDetail.module.scss", "SCSS", 0, 0, -276, 0, -47, -323
"d:\bookingHealthCare\client\src\pages\OrderPackDetail\index.jsx", "JavaScript JSX", 0, -135, 0, -1, -11, -147
"d:\bookingHealthCare\client\src\pages\PackManage\index.jsx", "JavaScript JSX", 0, -9, 0, 0, -2, -11
"d:\bookingHealthCare\client\src\pages\Profile\Profile.module.scss", "SCSS", 0, 0, -77, 0, -3, -80
"d:\bookingHealthCare\client\src\pages\Profile\index.jsx", "JavaScript JSX", 0, -86, 0, 0, -7, -93
"d:\bookingHealthCare\client\src\redux\apiRequest.js", "JavaScript", 63, 0, 0, 1, 1, 65
"d:\bookingHealthCare\client\src\redux\authSlice.js", "JavaScript", 76, 0, 0, 0, 3, 79
"d:\bookingHealthCare\client\src\redux\store.js", "JavaScript", 33, 0, 0, 0, 1, 34
"d:\bookingHealthCare\client\src\redux\userSlice.js", "JavaScript", 31, 0, 0, 0, 1, 32
"Total", "-", 203, -812, -1006, -39, -223, -1877
