"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"d:\bookingHealthCare\client\src\routes\index.jsx", "JavaScript JSX", 0, -33, 0, -1, -34
"d:\bookingHealthCare\server\src\controller\AppointmentController.js", "JavaScript", 430, 0, 15, 44, 489
"d:\bookingHealthCare\server\src\controller\AuthenticationController.js", "JavaScript", 98, 0, 10, 23, 131
"d:\bookingHealthCare\server\src\controller\DoctorController.js", "JavaScript", 18, 0, 0, 4, 22
"d:\bookingHealthCare\server\src\controller\DoctorDetailController.js", "JavaScript", 18, 0, 1, 6, 25
"d:\bookingHealthCare\server\src\controller\MiddlewareController.js", "JavaScript", 16, 0, 17, 4, 37
"d:\bookingHealthCare\server\src\controller\PackController.js", "JavaScript", 51, 0, 0, 6, 57
"d:\bookingHealthCare\server\src\controller\PatientController.js", "JavaScript", 110, 0, 10, 5, 125
"d:\bookingHealthCare\server\src\controller\PrescriptionController.js", "JavaScript", 66, 0, 0, 4, 70
"d:\bookingHealthCare\server\src\controller\SpecialtyController.js", "JavaScript", 30, 0, 3, 2, 35
"d:\bookingHealthCare\server\src\controller\StatisticsController.js", "JavaScript", 44, 0, 2, 9, 55
"d:\bookingHealthCare\server\src\controller\TestController.js", "JavaScript", 53, 0, 0, 6, 59
"d:\bookingHealthCare\server\src\controller\TestOrderController.js", "JavaScript", 141, 0, 7, 11, 159
"d:\bookingHealthCare\server\src\controller\UserController.js", "JavaScript", 37, 0, 2, 4, 43
"d:\bookingHealthCare\server\src\controller\UserUseController.js", "JavaScript", 25, 0, 1, 2, 28
"d:\bookingHealthCare\server\src\controller\WorkdateController.js", "JavaScript", 114, 0, 3, 13, 130
"Total", "-", 1251, -33, 71, 142, 1431
