"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\bookingHealthCare\server\src\models\Appointment.js", "JavaScript", 35, 0, 4, 39
"d:\bookingHealthCare\server\src\models\Doctor.js", "JavaScript", 22, 0, 4, 26
"d:\bookingHealthCare\server\src\models\MedicalHistory.js", "JavaScript", 16, 0, 1, 17
"d:\bookingHealthCare\server\src\models\Pack.js", "JavaScript", 12, 0, 3, 15
"d:\bookingHealthCare\server\src\models\Patient.js", "JavaScript", 18, 0, 1, 19
"d:\bookingHealthCare\server\src\models\Prescription.js", "JavaScript", 20, 0, 3, 23
"d:\bookingHealthCare\server\src\models\Specialty.js", "JavaScript", 9, 0, 3, 12
"d:\bookingHealthCare\server\src\models\Test.js", "JavaScript", 9, 0, 2, 11
"d:\bookingHealthCare\server\src\models\TestOrder.js", "JavaScript", 29, 0, 3, 32
"d:\bookingHealthCare\server\src\models\TestUser.js", "JavaScript", 31, 0, 1, 32
"d:\bookingHealthCare\server\src\models\WorkDate.js", "JavaScript", 8, 0, 3, 11
"Total", "-", 209, 0, 28, 237
