"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\bookingHealthCare\server\src\models\Appointment.js", "JavaScript", -35, 0, -4, -39
"d:\bookingHealthCare\server\src\models\Doctor.js", "JavaScript", -22, 0, -4, -26
"d:\bookingHealthCare\server\src\models\MedicalHistory.js", "JavaScript", -16, 0, -1, -17
"d:\bookingHealthCare\server\src\models\Pack.js", "JavaScript", -12, 0, -3, -15
"d:\bookingHealthCare\server\src\models\Patient.js", "JavaScript", -18, 0, -1, -19
"d:\bookingHealthCare\server\src\models\Prescription.js", "JavaScript", -20, 0, -3, -23
"d:\bookingHealthCare\server\src\models\Specialty.js", "JavaScript", -9, 0, -3, -12
"d:\bookingHealthCare\server\src\models\Test.js", "JavaScript", -9, 0, -2, -11
"d:\bookingHealthCare\server\src\models\TestOrder.js", "JavaScript", -29, 0, -3, -32
"d:\bookingHealthCare\server\src\models\TestUser.js", "JavaScript", -31, 0, -1, -32
"d:\bookingHealthCare\server\src\models\WorkDate.js", "JavaScript", -8, 0, -3, -11
"d:\bookingHealthCare\server\src\routes\appointments.js", "JavaScript", 32, 3, 3, 38
"d:\bookingHealthCare\server\src\routes\auththentication.js", "JavaScript", 8, 0, 1, 9
"d:\bookingHealthCare\server\src\routes\doctorDetail.js", "JavaScript", 5, 0, 1, 6
"d:\bookingHealthCare\server\src\routes\doctors.js", "JavaScript", 5, 0, 4, 9
"d:\bookingHealthCare\server\src\routes\index.js", "JavaScript", 31, 1, 3, 35
"d:\bookingHealthCare\server\src\routes\packs.js", "JavaScript", 9, 0, 3, 12
"d:\bookingHealthCare\server\src\routes\patient.js", "JavaScript", 7, 0, 3, 10
"d:\bookingHealthCare\server\src\routes\prescription.js", "JavaScript", 6, 0, 0, 6
"d:\bookingHealthCare\server\src\routes\specialties.js", "JavaScript", 6, 2, 2, 10
"d:\bookingHealthCare\server\src\routes\statistics.js", "JavaScript", 5, 0, 3, 8
"d:\bookingHealthCare\server\src\routes\test.js", "JavaScript", 8, 0, 1, 9
"d:\bookingHealthCare\server\src\routes\testOrder.js", "JavaScript", 25, 4, 4, 33
"d:\bookingHealthCare\server\src\routes\user.js", "JavaScript", 7, 0, 4, 11
"d:\bookingHealthCare\server\src\routes\userUse.js", "JavaScript", 6, 0, 4, 10
"d:\bookingHealthCare\server\src\routes\workdate.js", "JavaScript", 8, 0, 1, 9
"Total", "-", -41, 10, 9, -22
